,Paal,Nifal,Piel,Hifil,Hitpael,Hofal,Pual,Total,Common,Uncommon,Rank,Accompli,Inaccompli,Wayyiqtol,Impératif,Infinitif Absolu,Infinitif Construit,Participe Présent,Participe Présent Passif,Classe
יחל,0,2,24,15,0,0,0,41,41,0,273,15,15,2,5,0,0,4,0,פ׳׳וי
נוע,24,2,0,14,0,0,0,40,40,0,274,11,12,6,1,3,4,3,0,פ׳׳נ
נחה,12,0,0,28,0,0,0,40,40,0,275,10,17,7,4,0,2,0,0,פ׳׳נ
גנב,31,1,2,0,2,0,4,40,40,0,276,10,10,8,0,4,0,4,4,Fort
חמל,40,0,0,0,0,0,0,40,40,0,277,10,24,6,0,0,0,0,0,פ׳׳ג
נטשׁ,33,6,0,0,0,0,1,40,40,0,278,17,8,12,1,0,0,0,2,פ׳׳נ
חרב,19,3,0,13,0,3,2,40,40,0,279,13,14,1,4,2,0,5,1,פ׳׳ג
חפר,36,0,0,4,0,0,0,40,40,0,280,15,11,9,0,0,3,2,0,פ׳׳ג
בהל,0,24,10,3,0,0,2,39,39,0,281,14,12,5,0,0,2,4,2,ע׳׳ג
אבל,18,0,0,2,19,0,0,39,39,0,282,16,7,9,1,0,0,6,0,פ׳׳א
חרד,23,0,0,16,0,0,0,39,39,0,283,9,6,9,1,0,2,12,0,פ׳׳ג
קהל,0,19,0,20,0,0,0,39,39,0,284,7,3,20,5,0,3,1,0,ע׳׳ג
כול,1,0,24,12,0,0,1,38,38,0,285,9,14,3,0,0,11,1,0,ע׳׳וי
כלם,0,26,0,10,0,2,0,38,38,0,286,13,12,1,1,0,4,7,0,Fort
לקט,14,0,21,0,1,0,1,37,37,0,287,8,10,8,2,0,6,3,0,Fort
עשׁק,36,0,0,0,0,0,1,37,37,0,288,9,7,0,0,0,3,9,9,פ׳׳ג
חסה,37,0,0,0,0,0,0,37,37,0,289,13,8,0,1,0,4,11,0,ל׳׳ה
גמל,34,3,0,0,0,0,0,37,37,0,290,15,6,4,1,0,3,4,4,Fort
צור,37,0,0,0,0,0,0,37,37,0,291,6,4,15,1,0,2,9,0,ע׳׳וי
אשׁם,35,1,0,1,0,0,0,37,37,0,292,15,14,3,1,2,2,0,0,פ׳׳א
שׂחק,18,0,17,1,0,0,0,36,36,0,293,4,16,1,0,0,3,12,0,ע׳׳ג
נוף,1,0,1,33,0,1,0,36,36,0,294,20,5,3,1,0,4,3,0,פ׳׳נ
משׁך,30,3,0,0,0,0,3,36,36,0,295,8,8,4,4,0,4,5,3,Fort
מעל,36,0,0,0,0,0,0,36,36,0,296,22,3,4,0,1,6,0,0,ע׳׳ג
פרח,31,0,0,5,0,0,0,36,36,0,297,11,15,0,0,2,1,7,0,ל׳׳ג
כנע,0,25,0,11,0,0,0,36,36,0,298,9,5,18,1,0,3,0,0,ל׳׳ג
מוט,11,23,0,1,1,0,0,36,36,0,299,6,26,0,0,3,0,1,0,ע׳׳וי
כרע,30,0,0,6,0,0,0,36,36,0,300,14,11,5,1,1,1,3,0,ל׳׳ג
מחה,23,9,0,3,0,0,1,36,36,0,301,11,15,2,3,1,2,1,1,ל׳׳ה
נסה,0,0,36,0,0,0,0,36,36,0,302,11,6,6,2,0,10,1,0,פ׳׳נ
נקם,13,12,2,0,5,3,0,35,35,0,303,6,12,1,3,1,5,7,0,פ׳׳נ
נשׁק,29,0,5,1,0,0,0,35,35,0,304,4,6,17,2,0,2,4,0,פ׳׳נ
נשׁא,17,1,0,17,0,0,0,35,35,0,305,11,11,0,0,2,0,11,0,פ׳׳נ
זרק,33,0,0,0,0,0,2,35,35,0,306,14,4,13,1,0,1,2,0,Fort
המה,34,0,0,0,0,0,0,34,34,0,307,6,16,3,0,0,1,8,0,ל׳׳ה
חבא,0,16,0,6,10,1,1,34,34,0,308,13,4,7,0,0,2,8,0,ל׳׳א
יהב,34,0,0,0,0,0,0,34,34,0,309,0,0,0,34,0,0,0,0,פ׳׳וי
ארך,3,0,0,31,0,0,0,34,34,0,310,8,18,3,1,0,2,2,0,פ׳׳א
גבה,24,0,0,10,0,0,0,34,34,0,311,13,7,8,0,2,2,2,0,ל׳׳ה
קצף,28,0,0,5,1,0,0,34,34,0,312,12,7,11,0,0,2,2,0,Fort
קנא,0,0,30,4,0,0,0,34,34,0,313,12,9,7,0,2,2,2,0,ל׳׳א
רשׁע,9,0,0,25,0,0,0,34,34,0,314,12,17,1,0,0,2,2,0,ל׳׳ג
צמח,15,0,4,14,0,0,0,33,33,0,315,4,19,2,0,0,2,6,0,ל׳׳ג
מול,12,18,0,3,0,0,0,33,33,0,316,9,7,4,1,3,6,1,2,ע׳׳וי
צרף,30,1,2,0,0,0,0,33,33,0,317,6,3,0,1,1,3,14,5,Fort
חתן,22,0,0,0,11,0,0,33,33,0,318,1,2,2,2,0,4,22,0,פ׳׳ג
חבשׁ,29,0,2,0,0,0,2,33,33,0,319,5,5,10,4,0,3,2,4,פ׳׳ג
ערב,25,0,0,1,7,0,0,33,33,0,320,13,7,1,4,1,3,4,0,פ׳׳ג
כחד,0,11,15,6,0,0,0,32,32,0,321,11,14,3,0,0,1,3,0,ע׳׳ג
צפן,27,3,0,2,0,0,0,32,32,0,322,10,12,2,0,0,1,1,6,Fort
שׁטף,28,2,0,0,0,0,1,31,31,0,323,7,10,2,0,0,0,12,0,Fort
נהג,20,0,11,0,0,0,0,31,31,0,324,4,9,10,1,0,0,6,1,פ׳׳נ
טמן,28,1,0,2,0,0,0,31,31,0,325,12,0,6,3,0,3,0,7,Fort
נאף,16,0,15,0,0,0,0,31,31,0,326,3,6,3,0,3,0,16,0,פ׳׳נ
נדר,31,0,0,0,0,0,0,31,31,0,327,10,11,5,1,0,2,2,0,פ׳׳נ
ילל,0,0,0,30,0,0,0,30,30,0,328,4,9,0,17,0,0,0,0,פ׳׳וי
ספד,28,2,0,0,0,0,0,30,30,0,329,3,9,7,4,1,4,2,0,Fort
שׁפל,11,0,0,19,0,0,0,30,30,0,330,7,11,3,2,0,4,3,0,Fort
דמם,23,5,1,1,0,0,0,30,30,0,331,5,14,3,8,0,0,0,0,Fort
גזל,29,1,0,0,0,0,0,30,30,0,332,12,6,3,0,0,1,3,5,Fort
רבץ,24,0,0,6,0,0,0,30,30,0,333,8,11,1,0,0,0,10,0,Fort
רעשׁ,22,1,0,7,0,0,0,30,30,0,334,12,9,5,0,0,0,4,0,ע׳׳ג
מנע,25,4,0,0,0,0,0,29,29,0,335,11,11,2,3,0,0,2,0,ל׳׳ג
חבר,11,0,9,1,3,0,4,29,28,1,336,9,4,4,0,0,3,8,1,פ׳׳ג
בחן,25,3,0,0,0,0,1,29,29,0,337,9,9,0,4,0,1,6,0,ע׳׳ג
יעד,5,19,0,3,0,2,0,29,29,0,338,10,10,2,0,0,0,5,2,פ׳׳וי
חלם,27,0,0,2,0,0,0,29,29,0,339,12,5,6,0,0,0,6,0,פ׳׳ג
הגה,26,0,0,1,0,1,0,28,28,0,340,4,19,0,0,4,0,1,0,ל׳׳ה
עלם,1,11,0,10,6,0,0,28,28,0,341,11,8,0,0,1,1,6,1,פ׳׳ג
בשׁל,2,0,21,1,0,0,4,28,28,0,342,11,7,3,3,0,1,1,2,Fort
קשׁה,5,1,1,21,0,0,0,28,28,0,343,10,6,8,0,0,1,3,0,ל׳׳ה
רדה,25,0,2,1,0,0,0,28,28,0,344,4,10,4,3,0,1,6,0,ל׳׳ה
פתה,5,2,17,1,0,0,3,28,28,0,345,4,14,3,2,0,1,4,0,ל׳׳ה
חלף,16,0,2,10,0,0,0,28,28,0,346,9,14,3,1,0,1,0,0,פ׳׳ג
חשׂך,26,2,0,0,0,0,0,28,28,0,347,13,9,1,1,0,0,4,0,פ׳׳ג
מנה,12,6,9,0,0,0,1,28,28,0,348,6,5,6,2,0,6,2,1,ל׳׳ה
פלט,1,0,24,2,0,0,0,27,27,0,349,1,11,3,4,1,1,6,0,Fort
יצת,4,6,0,17,0,0,0,27,27,0,350,16,4,5,1,0,0,1,0,פ׳׳וי
נתק,3,10,11,2,0,1,0,27,27,0,351,9,12,3,1,0,1,0,1,פ׳׳נ
חקר,22,4,1,0,0,0,0,27,27,0,352,8,10,0,2,0,5,2,0,פ׳׳ג
חבל,15,1,9,0,0,0,2,27,27,0,353,7,10,0,2,1,4,2,1,פ׳׳ג
שׂושׂ,27,0,0,0,0,0,0,27,27,0,354,7,13,0,3,1,1,2,0,ע׳׳וי
תלה,23,2,2,0,0,0,0,27,27,0,355,13,2,4,1,0,2,1,4,ל׳׳ה
חכם,19,0,3,1,2,0,2,27,27,0,356,7,12,1,4,0,0,1,2,פ׳׳ג
אוה,0,0,11,0,16,0,0,27,27,0,357,10,11,3,0,0,0,3,0,פ׳׳א
נדד,23,0,1,1,0,2,0,27,27,0,358,10,5,1,0,0,1,9,1,פ׳׳נ
ינק,18,0,0,9,0,0,0,27,27,0,359,4,6,3,1,0,1,12,0,פ׳׳וי
קרה,13,6,5,3,0,0,0,27,27,0,360,10,9,3,1,0,2,2,0,ל׳׳ה
פרה,20,0,0,7,0,0,0,27,27,0,361,10,4,2,5,0,0,6,0,ל׳׳ה
חמם,24,1,1,0,1,0,0,27,27,0,362,5,8,2,0,0,11,1,0,פ׳׳ג
לוה,6,11,0,9,0,0,0,26,26,0,363,9,7,0,0,0,0,10,0,ע׳׳וי
נסך,8,1,1,14,0,2,0,26,26,0,364,6,5,5,0,8,1,0,1,פ׳׳נ
סוג,4,14,0,7,0,1,0,26,26,0,365,7,11,1,0,1,1,4,1,ע׳׳וי
יגע,20,0,2,4,0,0,0,26,26,0,366,16,10,0,0,0,0,0,0,פ׳׳וי
רגל,1,0,24,0,0,0,0,26,25,1,367,2,0,3,1,0,8,12,0,Fort
קדם,0,0,24,2,0,0,0,26,26,0,368,12,13,0,1,0,0,0,0,Fort
פרד,1,12,1,7,4,0,1,26,26,0,369,5,9,2,1,0,2,5,2,Fort
חתם,22,2,1,1,0,0,0,26,26,0,370,2,3,3,3,2,1,2,10,פ׳׳ג
שׁלף,25,0,0,0,0,0,0,25,25,0,371,5,0,2,3,0,0,11,4,Fort
חצב,22,1,0,1,0,0,1,25,25,0,372,6,2,1,0,0,2,12,2,פ׳׳ג
מרד,25,0,0,0,0,0,0,25,25,0,373,7,4,7,0,0,3,4,0,Fort
ישׁר,13,0,9,2,0,0,1,25,25,0,374,7,7,7,2,0,0,1,1,פ׳׳וי
טרף,20,2,0,1,0,0,2,25,25,0,375,6,6,1,1,3,3,5,0,Fort
רחב,3,1,0,21,0,0,0,25,25,0,376,11,7,1,3,0,1,2,0,ע׳׳ג
פחד,22,0,2,1,0,0,0,25,25,0,377,14,9,1,0,0,0,1,0,ע׳׳ג
שׁנה,13,1,9,0,1,0,1,25,25,0,378,5,6,3,1,0,4,6,0,ל׳׳ה
נוד,18,0,0,3,4,0,0,25,25,0,379,2,11,1,4,0,4,3,0,פ׳׳נ
שׁטר,25,0,0,0,0,0,0,25,25,0,380,0,0,0,0,0,0,25,0,Fort
גבר,17,0,3,2,3,0,0,25,25,0,381,17,6,2,0,0,0,0,0,Fort
זקן,22,0,0,2,0,0,0,24,24,0,382,21,2,1,0,0,0,0,0,Fort
רושׁ,23,0,0,0,1,0,0,24,24,0,383,1,0,0,0,0,0,23,0,ע׳׳וי
כבה,14,0,10,0,0,0,0,24,24,0,384,2,15,1,0,0,2,4,0,ל׳׳ה
נזה,4,0,0,20,0,0,0,24,24,0,385,14,5,3,1,0,0,1,0,פ׳׳נ
שׁכל,4,0,18,2,0,0,0,24,24,0,386,11,6,0,0,0,1,6,0,Fort
חוס,24,0,0,0,0,0,0,24,24,0,387,2,18,2,2,0,0,0,0,ע׳׳וי
נבל,20,0,4,0,0,0,0,24,24,0,388,7,9,1,0,1,1,5,0,פ׳׳נ
רבב,23,0,0,0,0,0,1,24,24,0,389,20,0,0,0,0,3,0,1,ע׳׳ע
עוף,18,0,4,1,1,0,0,24,24,0,390,1,11,5,0,0,2,5,0,ע׳׳וי
גוע,24,0,0,0,0,0,0,24,24,0,391,5,10,6,0,0,2,1,0,ע׳׳וי
בשׂר,0,0,23,0,1,0,0,24,24,0,392,3,6,0,2,0,3,10,0,Fort
חסר,20,0,2,2,0,0,0,24,24,0,393,6,13,2,0,1,0,2,0,פ׳׳ג
נאץ,8,0,15,0,0,0,0,24,23,1,394,12,5,2,0,1,0,4,0,פ׳׳נ
תור,22,0,0,2,0,0,0,24,24,0,395,4,4,2,0,0,11,3,0,ע׳׳וי
יאל,0,4,0,19,0,0,0,23,23,0,396,11,1,6,5,0,0,0,0,פ׳׳וי
דין,22,1,0,0,0,0,0,23,23,0,397,3,12,0,2,0,3,3,0,ע׳׳וי
חפשׂ,4,1,8,0,8,0,2,23,23,0,398,4,7,7,3,0,0,1,1,פ׳׳ג
יעל,0,0,0,23,0,0,0,23,23,0,399,1,15,0,0,1,5,1,0,פ׳׳וי
גלח,0,0,18,0,2,0,3,23,23,0,400,8,8,4,0,0,2,0,1,ל׳׳ג
נגשׂ,19,4,0,0,0,0,0,23,23,0,401,5,3,0,0,0,0,15,0,פ׳׳נ
כהן,0,0,23,0,0,0,0,23,23,0,402,4,1,3,0,0,15,0,0,ע׳׳ג
גרע,14,7,1,0,0,0,0,22,22,0,403,2,15,1,0,0,1,1,2,ל׳׳ג
גדע,5,7,9,0,0,0,1,22,22,0,404,13,4,4,0,0,0,0,1,ל׳׳ג
תעב,0,3,15,4,0,0,0,22,22,0,405,7,7,3,0,1,0,4,0,ע׳׳ג
קיץ,1,0,0,21,0,0,0,22,22,0,406,9,4,0,6,0,2,1,0,ע׳׳וי
זהר,0,8,0,14,0,0,0,22,22,0,407,14,1,0,1,0,3,3,0,ע׳׳ג
שׁקל,19,3,0,0,0,0,0,22,22,0,408,3,9,6,0,1,1,2,0,Fort
שׁקף,0,10,0,12,0,0,0,22,22,0,409,9,1,7,1,0,0,4,0,Fort
כחשׁ,1,1,19,0,1,0,0,22,22,0,410,10,8,1,0,2,1,0,0,ע׳׳ג
מעט,8,0,1,13,0,0,0,22,22,0,411,3,14,1,0,0,1,3,0,ע׳׳ג
עתר,5,9,0,8,0,0,0,22,22,0,412,3,3,9,4,1,1,1,0,פ׳׳ג
פשׂה,22,0,0,0,0,0,0,22,22,0,413,14,4,0,0,4,0,0,0,ל׳׳ה
מושׁ,18,0,0,4,0,0,0,22,22,0,414,3,19,0,0,0,0,0,0,ע׳׳וי
סקל,12,4,4,0,0,0,2,22,22,0,415,7,5,5,2,2,1,0,0,Fort
שׁען,0,22,0,0,0,0,0,22,22,0,416,5,7,1,1,0,4,4,0,ע׳׳ג
שׁזר,0,0,0,0,0,21,0,21,21,0,417,0,0,0,0,0,0,0,21,Fort
שׁוע,0,0,21,0,0,0,0,21,21,0,418,4,11,1,0,0,3,2,0,ע׳׳וי
נתך,7,8,0,5,0,1,0,21,21,0,419,9,6,4,0,0,1,1,0,פ׳׳נ
תמך,20,1,0,0,0,0,0,21,21,0,420,5,9,1,0,1,1,4,0,Fort
אתה,19,0,0,2,0,0,0,21,21,0,421,3,6,4,5,0,0,3,0,פ׳׳א
סחר,20,0,1,0,0,0,0,21,21,0,422,2,2,0,1,0,0,16,0,ע׳׳ג
שׁוה,8,0,10,2,0,0,0,21,20,1,423,8,8,0,0,0,0,5,0,ע׳׳וי
מסס,1,19,0,1,0,0,0,21,21,0,424,9,4,4,0,1,2,1,0,ע׳׳ע
נתשׁ,16,4,0,0,0,1,0,21,21,0,425,5,7,2,0,1,4,2,0,פ׳׳נ
צום,21,0,0,0,0,0,0,21,21,0,426,5,4,8,1,1,0,2,0,ע׳׳וי
שׁגה,17,0,0,4,0,0,0,21,21,0,427,5,7,1,0,0,1,7,0,ל׳׳ה
חמד,16,4,1,0,0,0,0,21,21,0,428,6,7,1,0,0,0,4,3,פ׳׳ג
נפץ,5,0,15,0,0,0,1,21,21,0,429,15,2,0,0,1,1,0,2,פ׳׳נ
שׁאג,20,0,0,0,0,0,0,20,20,0,430,3,11,0,0,1,0,5,0,ע׳׳ג
שׂכר,17,1,0,0,2,0,0,20,20,0,431,5,1,6,0,1,1,5,1,Fort
שׂיח,18,0,2,0,0,0,0,20,20,0,432,0,15,0,4,0,1,0,0,ע׳׳וי
פקח,17,3,0,0,0,0,0,20,20,0,433,3,2,5,6,1,1,1,1,ל׳׳ג
זנח,16,0,0,4,0,0,0,20,20,0,434,14,5,1,0,0,0,0,0,ל׳׳ג
עצם,17,0,2,1,0,0,0,20,20,0,435,14,0,4,0,0,1,1,0,פ׳׳ג
שׂגב,2,10,6,1,0,0,1,20,20,0,436,6,6,2,0,0,0,6,0,Fort
צרע,5,0,0,0,0,0,15,20,20,0,437,0,0,0,0,0,0,0,20,ל׳׳ג
יחשׂ,0,0,0,0,20,0,0,20,20,0,438,2,0,0,0,0,16,2,0,פ׳׳וי
עלל,0,0,11,0,8,0,1,20,20,0,439,11,3,2,1,1,1,1,0,ע׳׳ע
חושׁ,14,0,0,6,0,0,0,20,20,0,440,3,5,1,8,0,1,1,1,ע׳׳וי
סכך,12,0,1,7,0,0,0,20,20,0,441,4,5,4,0,0,1,6,0,Fort
קסם,20,0,0,0,0,0,0,20,20,0,442,0,2,1,1,0,4,12,0,Fort
שׁאב,19,0,0,0,0,0,0,19,19,0,443,1,3,5,1,0,4,5,0,ע׳׳ג
נקף,1,0,2,16,0,0,0,19,19,0,444,9,3,2,1,2,0,2,0,פ׳׳נ
נקב,13,6,0,0,0,0,0,19,19,0,445,9,3,2,1,0,1,1,2,פ׳׳נ
לאה,3,10,0,6,0,0,0,19,19,0,446,12,2,3,0,0,1,1,0,ל׳׳ה
ריק,0,0,0,17,0,2,0,19,19,0,447,5,9,1,1,0,1,2,0,ע׳׳וי
לחץ,18,1,0,0,0,0,0,19,19,0,448,6,3,4,0,0,0,6,0,ע׳׳ג
רמס,18,1,0,0,0,0,0,19,19,0,449,1,8,7,1,0,1,1,0,Fort
חקק,9,0,8,0,0,1,1,19,19,0,450,2,2,0,1,0,2,10,2,ע׳׳ע
ישׁן,15,3,1,0,0,0,0,19,19,0,451,5,6,5,0,0,1,2,0,פ׳׳וי
ינה,5,0,0,14,0,0,0,19,19,0,452,4,8,0,0,0,1,6,0,פ׳׳וי
כרה,18,1,0,0,0,0,0,19,19,0,453,9,5,3,0,0,0,2,0,ל׳׳ה
דכא,0,1,11,0,2,0,4,18,18,0,454,3,10,0,0,0,2,1,2,ל׳׳א
שׁכר,9,0,4,4,1,0,0,18,18,0,455,3,6,3,3,1,1,1,0,Fort
שׁחח,12,4,0,2,0,0,0,18,18,0,456,9,5,3,0,0,1,0,0,ע׳׳ע
לעג,12,1,0,5,0,0,0,18,18,0,457,2,9,3,0,0,0,4,0,ע׳׳ג
זרח,18,0,0,0,0,0,0,18,18,0,458,10,4,1,0,0,2,1,0,ל׳׳ג
רצץ,10,2,4,1,1,0,0,18,18,0,459,5,1,5,0,0,0,1,6,Fort
סות,0,0,0,18,0,0,0,18,18,0,460,4,5,7,0,0,0,2,0,ע׳׳וי
תכן,3,10,4,0,0,0,1,18,18,0,461,5,9,0,0,0,0,3,1,Fort
יבל,0,0,0,7,0,11,0,18,18,0,462,0,18,0,0,0,0,0,0,פ׳׳וי
נטף,9,0,0,9,0,0,0,18,18,0,463,5,9,0,2,0,0,2,0,פ׳׳נ
ספה,8,9,0,1,0,0,0,18,18,0,464,2,9,0,0,0,4,3,0,ל׳׳ה
רכל,17,0,0,0,0,0,0,17,17,0,465,0,0,0,0,0,0,17,0,Fort
עצב,3,7,3,2,2,0,0,17,17,0,466,5,7,2,0,0,2,0,1,פ׳׳ג
עטה,15,0,0,2,0,0,0,17,17,0,467,3,8,1,0,1,0,4,0,ל׳׳ה
כתת,5,0,5,2,0,4,1,17,17,0,468,7,4,3,1,0,0,0,2,ע׳׳ע
רמשׂ,17,0,0,0,0,0,0,17,17,0,469,0,3,0,0,0,0,14,0,Fort
מוג,4,8,2,0,3,0,0,17,17,0,470,7,5,2,0,1,1,1,0,ע׳׳וי
עשׁר,2,0,0,14,1,0,0,17,17,0,471,3,9,1,0,0,2,2,0,פ׳׳ג
חשׁך,11,0,0,6,0,0,0,17,17,0,472,9,5,2,0,0,0,1,0,פ׳׳ג
מטר,0,1,0,16,0,0,0,17,17,0,473,3,6,3,0,0,2,3,0,Fort
סרר,17,0,0,0,0,0,0,17,17,0,474,1,0,0,0,0,0,16,0,ע׳׳ע
נדב,3,0,0,0,14,0,0,17,17,0,475,5,1,1,0,0,5,5,0,פ׳׳נ
אחר,1,0,15,1,0,0,0,17,17,0,476,2,10,2,0,0,0,3,0,פ׳׳א
קדר,13,0,0,3,1,0,0,17,17,0,477,8,1,1,0,0,0,7,0,Fort
שׁור,17,0,0,0,0,0,0,17,17,0,478,0,15,1,1,0,0,0,0,ע׳׳וי
בצע,11,0,6,0,0,0,0,17,17,0,479,1,6,1,0,0,3,6,0,ל׳׳ג
כלא,14,3,0,0,0,0,0,17,17,0,480,6,4,3,1,0,1,0,2,ל׳׳א
מרר,8,0,3,4,2,0,0,17,17,0,481,9,3,3,0,1,1,0,0,ע׳׳ע
באשׁ,5,3,0,8,1,0,0,17,17,0,482,9,3,3,0,1,1,0,0,ע׳׳ג
צוד,13,0,4,0,0,0,0,17,17,0,483,3,7,0,1,1,2,3,0,ע׳׳וי
גלל,10,2,1,0,3,0,1,17,17,0,484,6,1,1,5,0,1,2,1,ע׳׳ע
עוה,2,4,2,9,0,0,0,17,17,0,485,13,0,0,0,1,1,2,0,ע׳׳וי
ברר,8,3,1,2,2,0,0,16,16,0,486,1,2,0,2,0,4,2,5,ע׳׳ע
שׁלל,14,0,0,0,1,0,0,16,15,1,487,5,2,0,0,0,5,4,0,ע׳׳ע
בעת,0,3,13,0,0,0,0,16,16,0,488,6,9,0,0,0,0,1,0,ע׳׳ג
בעל,14,2,0,0,0,0,0,16,16,0,489,7,4,0,0,0,0,1,4,ע׳׳ג
עלז,16,0,0,0,0,0,0,16,16,0,490,0,11,2,2,0,1,0,0,פ׳׳ג
נשׁך,11,0,2,3,0,0,0,16,16,0,491,4,7,1,0,0,0,3,1,פ׳׳נ
שׁוט,10,0,5,0,1,0,0,16,16,0,492,1,2,1,3,0,2,7,0,ע׳׳וי
טבל,15,1,0,0,0,0,0,16,16,0,493,9,1,5,0,0,0,1,0,Fort
יצג,0,0,0,15,0,1,0,16,16,0,494,4,3,6,1,1,0,1,0,פ׳׳וי
אזר,6,1,6,0,3,0,0,16,16,0,495,2,3,3,4,0,0,3,1,פ׳׳א
רגם,16,0,0,0,0,0,0,16,16,0,496,4,3,6,0,2,1,0,0,Fort
חשׁה,7,0,0,9,0,0,0,16,16,0,497,2,5,1,2,0,1,5,0,ל׳׳ה
אשׁר,1,0,12,0,0,0,3,16,16,0,498,3,2,3,3,0,0,3,2,פ׳׳א
רבע,12,0,0,1,0,0,3,16,16,0,499,0,1,0,0,0,3,0,12,ל׳׳ג
כזב,1,2,12,1,0,0,0,16,16,0,500,3,11,0,0,0,1,1,0,Fort
פרע,13,1,0,2,0,0,0,16,16,0,501,3,6,1,1,0,1,2,2,ל׳׳ג
חגג,16,0,0,0,0,0,0,16,16,0,502,3,7,0,1,0,3,2,0,ע׳׳ע
צמת,1,2,2,10,0,0,0,15,15,0,503,6,6,1,1,0,0,1,0,Fort
בלה,11,0,4,0,0,0,0,15,15,0,504,7,5,0,0,0,3,0,0,ל׳׳ה
גזז,14,1,0,0,0,0,0,15,15,0,505,1,1,1,2,0,3,7,0,ע׳׳ע
אמל,0,0,0,0,0,0,15,15,15,0,506,15,0,0,0,0,0,0,0,פ׳׳א
פצה,15,0,0,0,0,0,0,15,15,0,507,9,1,0,3,0,0,2,0,ל׳׳ה
ערה,0,1,9,3,2,0,0,15,15,0,508,5,5,1,2,0,1,1,0,ל׳׳ה
נזל,14,0,0,1,0,0,0,15,15,0,509,1,7,0,0,0,0,7,0,פ׳׳נ
ערץ,11,1,0,3,0,0,0,15,15,0,510,0,10,0,0,0,3,2,0,פ׳׳ג
דושׁ,12,2,0,0,0,1,0,15,15,0,511,2,5,0,1,0,5,2,0,ע׳׳וי
נגן,1,0,14,0,0,0,0,15,15,0,512,2,1,0,0,1,5,6,0,פ׳׳נ
חצה,11,4,0,0,0,0,0,15,15,0,513,3,6,6,0,0,0,0,0,ל׳׳ה
שׁעה,12,0,0,1,2,0,0,15,15,0,514,2,9,1,3,0,0,0,0,ל׳׳ה
קדד,15,0,0,0,0,0,0,15,15,0,515,0,0,15,0,0,0,0,0,ע׳׳ע
פרס,2,0,0,12,0,0,0,14,14,0,516,2,2,0,0,1,0,9,0,Fort
רוה,3,0,6,5,0,0,0,14,14,0,517,8,4,0,1,0,0,1,0,ע׳׳וי
פאר,0,0,7,0,7,0,0,14,14,0,518,2,7,0,1,0,4,0,0,ע׳׳ג
קצץ,4,0,9,0,0,0,1,14,14,0,519,5,0,5,0,0,0,0,4,Fort
מרט,7,2,0,0,0,0,3,14,12,2,520,2,2,2,0,0,1,1,6,Fort
שׁחר,2,0,12,0,0,0,0,14,14,0,521,4,5,0,0,0,2,3,0,ע׳׳ג
פוח,13,0,0,1,0,0,0,14,14,0,522,0,13,0,1,0,0,0,0,ע׳׳וי
טול,0,0,1,9,0,4,0,14,14,0,523,4,4,4,1,0,0,1,0,ע׳׳וי
ארג,14,0,0,0,0,0,0,14,14,0,524,0,2,0,0,0,0,12,0,פ׳׳א
שׁרץ,14,0,0,0,0,0,0,14,14,0,525,4,2,1,1,0,0,6,0,Fort
חכה,1,0,13,0,0,0,0,14,14,0,526,5,2,0,2,0,0,5,0,ל׳׳ה
גרה,0,0,3,0,11,0,0,14,14,0,527,1,12,0,1,0,0,0,0,ל׳׳ה
מחץ,14,0,0,0,0,0,0,14,14,0,528,7,5,1,1,0,0,0,0,ע׳׳ג
סכן,8,1,0,4,0,0,1,14,14,0,529,2,6,0,1,1,0,3,1,Fort
קבב,14,0,0,0,0,0,0,14,14,0,530,2,5,1,3,0,3,0,0,ע׳׳ע
בוז,14,0,0,0,0,0,0,14,14,0,531,4,6,0,0,1,0,3,0,ע׳׳וי
עכר,12,2,0,0,0,0,0,14,14,0,532,6,1,0,0,0,0,7,0,פ׳׳ג
רוח,2,0,0,11,0,0,1,14,14,0,533,1,7,2,0,0,3,0,1,ע׳׳וי
עטף,6,1,0,1,6,0,0,14,14,0,534,0,7,1,0,0,6,0,0,פ׳׳ג
פגשׁ,10,3,1,0,0,0,0,14,14,0,535,5,3,4,0,1,1,0,0,Fort
אנף,8,0,0,0,6,0,0,14,14,0,536,7,4,3,0,0,0,0,0,פ׳׳א
שׁאף,14,0,0,0,0,0,0,14,14,0,537,5,3,1,0,1,0,4,0,ע׳׳ג
מור,0,1,0,13,0,0,0,14,14,0,538,2,8,1,0,2,1,0,0,ע׳׳וי
כבשׁ,8,5,1,0,0,0,0,14,14,0,539,6,1,2,1,0,2,2,0,Fort
לון,0,5,0,9,0,0,0,14,14,0,540,1,2,7,0,0,0,4,0,ע׳׳וי
גער,14,0,0,0,0,0,0,14,14,0,541,5,3,2,1,0,1,2,0,ע׳׳ג
מלל,4,3,5,0,1,0,0,13,13,0,542,3,7,1,1,0,0,1,0,ע׳׳ע
זמם,13,0,0,0,0,0,0,13,13,0,543,11,1,0,0,0,0,1,0,Fort
רעם,4,0,0,9,0,0,0,13,13,0,544,2,8,2,0,0,1,0,0,ע׳׳ג
קבל,0,0,11,2,0,0,0,13,13,0,545,4,2,3,2,0,0,2,0,Fort
נצה,1,9,0,3,0,0,0,13,13,0,546,3,3,2,0,0,2,3,0,פ׳׳נ
דקק,4,0,0,8,0,1,0,13,13,0,547,6,4,2,0,1,0,0,0,ע׳׳ע
